pseudoID;submitdate;lastpage;startlanguage;seed;startdate;datestamp;refurl;timePoint;Einv;studyGroup;AppName;Bew1;Bew2;Bew3;Bew4;Bew5;Bew6;STG;Habit[Habit1];Habit[Habit2];Habit[Habit3];Habit[Habit4];Intention1[Int1];Intention2[Int2];Intention3[Int3];Att1[Att1];Att2[Att2];Att3[Att3];Att4[Att4];Att5[Att5];Norm1[Norm1];Norm2[Norm2];Norm3[Norm3];ACheck1[ACheck1];Norm4[Norm4];Norm5[Norm5];Norm6[Norm6];Control1[Con1];Control2[Con2];Control3[Con3];Control4[Con4];KIM[IntVer1];KIM[IntVer2];KIM[IntVer3];KIM[wKomp1];KIM[wKomp2];KIM[wKomp3];KIM[wWahl1];KIM[wWahl2];KIM[wWahl3];KIM[DrAn1];KIM[DrAn2];KIM[DrAn3];KIM[ACheck2];ZiMo[discat1];ZiMo[discat2];ZiMo[discat3];ZiMo[discat4];ZiMo[discat5];ZiMo[enjoy1];ZiMo[enjoy2];ZiMo[enjoy3];ZiMo[fit1];ZiMo[fit2];ZiMo[fit3];ZiMo[heal1];ZiMo[heal2];ZiMo[heal3];ZiMo[comper1];ZiMo[comper2];ZiMo[comper3];ZiMo[aes1];ZiMo[aes2];ZiMo[con1];ZiMo[con2];ZiMo[con3];ZiMo[con4];ZiMo[con5];ZiMo[figapp1];ZiMo[figapp2];ZiMo[figapp3];ZiMo[risk1];ZiMo[risk2];ZiMo[risk3];ZiMo[ACheck3];MotivComp[MotivComp1];MotivComp[MotivComp2];MotivComp[MotivComp3];MotivComp[MotivComp4];VolSelf[VolSelf1];VolSelf[VolSelf2];VolSelf[VolSelf3];ActionPlan[ActionPlan1];ActionPlan[ActionPlan2];ActionPlan[ActionPlan3];ActionPlan[ActionPlan4];Geb;Ges;Ges[other];Ethn[Eu];Ethn[Eucomment];Ethn[As];Ethn[Ascomment];Ethn[Am];Ethn[Amcomment];Ethn[Af];Ethn[Afcomment];Ethn[AuNe];Ethn[AuNecomment];Ethn[LaAa];Ethn[LaAacomment];Ethn[Noe];Ethn[Noecomment];Ethn[In];Ethn[Incomment];Ethn[other];Ethn[othercomment];Wohn;Wohn[other];Edu;Prof;Prof[other];Einko;Einko[other];Branche;AlltagAbl[AufWa];AlltagAbl[StaProf]; ;AlltagAbl[BettZeit];AlltagAbl[PausDau];AlltagAbl[FreiDau];PhoneSystem[other];AppUseGeneral;QualAppGeneral;AppUseStudy;AppUseDays;TransferAppDetail;TAM[WA1];TAM[WA2];TAM[WA3];TAM[WN1];TAM[WN2];TAM[WN3];TAM[WN4];TAM[WB1];TAM[WB2];TAM[WB3];TAM[WB4];TAM[WF1];TAM[WF2];TAM[WF3];TAM[WF4];TAM[WV1];TAM[WV2];TAM[WV3];TAM[WV4];TAM[NI1];TAM[NI2];TAM[NI3];TAM[NI4];QualPos;QualNeg;otherAppUse;QualOthApp;SystemLink;eMailValidIG;eMailValidKG;interviewtime;groupTime19488;groupTime19449;groupTime19489;groupTime19452;groupTime19451;groupTime19453;groupTime19454;groupTime19455;groupTime19456;groupTime19458;groupTime19461;groupTime19862;groupTime19863;groupTime19864;groupTime19450;groupTime19487;groupTime19486;groupTime19491;groupTime19462
HP6VZ41N;19.03.2026 10:39;16;de;818143;19.03.2026 10:20;19.03.2026 10:39;;T1;Ja;24;;0 Tage;;1 Tag;19;4 Tage;38;Ja, aber ich bin noch nicht seit mehr als 6 Monaten regelmässig körperlich aktiv.;3;3;3;3;3;4;4;4;4;4;5;4;5;6;3;;7;;5;4;4;4;5;2 - stimmt teils-teils;2 - stimmt teils-teils;2 - stimmt teils-teils;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;4 - stimmt völlig;3 - stimmt ziemlich;;1 - stimmt wenig;2 - stimmt teils-teils;;5;4;4;4;1;4;3;4;4;5;3;4;4;4;;;;4;4;3;5;4;4;4;5;5;4;3;4;3;;4;3;3;4;;5;4;2;2;2;3;1978;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Matura;Studierend;;3000-4000 CHF;;Gesundheit;06:45:00;09:30:00;18:45:00;21:00;30;238;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;SYS-005020;;Ja;1194;;;;;;;;;;;;;;;;;;;
SWJCKJLT;19.03.2026 13:51;15;de;250121;19.03.2026 13:40;19.03.2026 13:51;;T2;Ja;24;;0 Tage;;2 Tage;21;7 Tage;35;Ja, aber ich bin noch nicht seit mehr als 6 Monaten regelmässig körperlich aktiv.;5;;5;5;3;4;4;4;4;5;4;6;4;3;5;;5;6;6;4;5;4;3;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;2 - stimmt teils-teils;3 - stimmt ziemlich;3 - stimmt ziemlich;;2 - stimmt teils-teils;1 - stimmt wenig;;4;4;5;5;4;4;4;3;3;3;3;5;4;3;4;4;3;4;4;4;4;3;5;4;4;4;4;2;2;2;;3;3;4;4;4;4;5;2;2;1;2;1978;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Master;Studierend;;3000-4000 CHF;;Büro;07:30:00;08:30:00;17:45:00;22:45;88;224;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;SYS-005220;;Ja;674;;;;;;;;;;;;;;;;;;;
EIYZCOTO;19.03.2026 13:51;15;de;250121;19.03.2026 13:40;19.03.2026 13:51;;T2;Ja;24;;0 Tage;;2 Tage;21;7 Tage;35;Ja, aber ich bin noch nicht seit mehr als 6 Monaten regelmässig körperlich aktiv.;5;;5;5;3;4;4;4;4;5;4;6;4;3;5;;5;6;6;4;5;4;3;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;2 - stimmt teils-teils;3 - stimmt ziemlich;3 - stimmt ziemlich;;2 - stimmt teils-teils;1 - stimmt wenig;;4;4;5;5;4;4;4;3;3;3;3;5;4;3;4;4;3;4;4;4;4;3;5;4;4;4;4;2;2;2;;3;3;4;4;4;4;5;2;2;1;2;1978;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Master;Studierend;;3000-4000 CHF;;Büro;07:30:00;08:30:00;17:45:00;22:45;88;224;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;SYS-005220;;Ja;674;;;;;;;;;;;;;;;;;;;
HP6VZ41N;19.03.2026 13:51;15;de;250121;19.03.2026 13:40;19.03.2026 13:51;;T2;Ja;24;;0 Tage;;2 Tage;21;7 Tage;35;Ja, aber ich bin noch nicht seit mehr als 6 Monaten regelmässig körperlich aktiv.;5;;5;5;3;4;4;4;4;5;4;6;4;3;5;;5;6;6;4;5;4;3;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;2 - stimmt teils-teils;3 - stimmt ziemlich;3 - stimmt ziemlich;;2 - stimmt teils-teils;1 - stimmt wenig;;4;4;5;5;4;4;4;3;3;3;3;5;4;3;4;4;3;4;4;4;4;3;5;4;4;4;4;2;2;2;;3;3;4;4;4;4;5;2;2;1;2;1978;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Master;Studierend;;3000-4000 CHF;;Büro;07:30:00;08:30:00;17:45:00;22:45;88;224;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;SYS-005220;;Ja;674;;;;;;;;;;;;;;;;;;;
SWJCKJLT;19.03.2026 17:18;18;de;221724;19.03.2026 17:00;19.03.2026 17:18;;T3;Ja;24;Studien KI-App;0 Tage;;2 Tage;28;7 Tage;38;Ja, aber ich bin noch nicht seit mehr als 6 Monaten regelmässig körperlich aktiv.;4;;4;5;3;4;5;6;7;5;6;6;5;5;4;;5;6;6;5;4;5;5;3 - stimmt ziemlich;3 - stimmt ziemlich;2 - stimmt teils-teils;4 - stimmt völlig;4 - stimmt völlig;;3 - stimmt ziemlich;3 - stimmt ziemlich;2 - stimmt teils-teils;0 - stimmt gar nicht;2 - stimmt teils-teils;1 - stimmt wenig;;5;5;5;5;3;3;4;3;5;5;5;5;5;5;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;5;5;5;5;4;4;2;1;2;3;1978;Weiblich;;;;Ja;;;;;;;;;;;;;;;;Schweiz;;Master;Angestellt;;4000-4500 CHF;;Gesundheit;08:45:00;08:15:00;18:00:00;21:15;62;241;;Nein;;Ja;7;Täglich;4;4;4;5;6;5;5;4;6;6;6;3;5;7;6;5;3;4;3;5;6;6;5;Hilfreich;Keine negativen Punkte;Nein;;SYS-005420;;Ja;1110;;;;;;;;;;;;;;;;;;;
EIYZCOTO;19.03.2026 17:18;18;de;221724;19.03.2026 17:00;19.03.2026 17:18;;T3;Ja;24;Studien KI-App;0 Tage;;2 Tage;28;7 Tage;38;Ja, aber ich bin noch nicht seit mehr als 6 Monaten regelmässig körperlich aktiv.;4;;4;5;3;4;5;6;7;5;6;6;5;5;4;;5;6;6;5;4;5;5;3 - stimmt ziemlich;3 - stimmt ziemlich;2 - stimmt teils-teils;4 - stimmt völlig;4 - stimmt völlig;;3 - stimmt ziemlich;3 - stimmt ziemlich;2 - stimmt teils-teils;0 - stimmt gar nicht;2 - stimmt teils-teils;1 - stimmt wenig;;5;5;5;5;3;3;4;3;5;5;5;5;5;5;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;5;5;5;5;4;4;2;1;2;3;1978;Weiblich;;;;Ja;;;;;;;;;;;;;;;;Schweiz;;Master;Angestellt;;4000-4500 CHF;;Gesundheit;08:45:00;08:15:00;18:00:00;21:15;62;241;;Nein;;Ja;7;Täglich;4;4;4;5;6;5;5;4;6;6;6;3;5;7;6;5;3;4;3;5;6;6;5;Hilfreich;Keine negativen Punkte;Nein;;SYS-005420;;Ja;1110;;;;;;;;;;;;;;;;;;;
HP6VZ41N;19.03.2026 17:18;18;de;221724;19.03.2026 17:00;19.03.2026 17:18;;T3;Ja;24;Studien KI-App;0 Tage;;2 Tage;28;7 Tage;38;Ja, aber ich bin noch nicht seit mehr als 6 Monaten regelmässig körperlich aktiv.;4;;4;5;3;4;5;6;7;5;6;6;5;5;4;;5;6;6;5;4;5;5;3 - stimmt ziemlich;3 - stimmt ziemlich;2 - stimmt teils-teils;4 - stimmt völlig;4 - stimmt völlig;;3 - stimmt ziemlich;3 - stimmt ziemlich;2 - stimmt teils-teils;0 - stimmt gar nicht;2 - stimmt teils-teils;1 - stimmt wenig;;5;5;5;5;3;3;4;3;5;5;5;5;5;5;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;5;5;5;5;4;4;2;1;2;3;1978;Weiblich;;;;Ja;;;;;;;;;;;;;;;;Schweiz;;Master;Angestellt;;4000-4500 CHF;;Gesundheit;08:45:00;08:15:00;18:00:00;21:15;62;241;;Nein;;Ja;7;Täglich;4;4;4;5;6;5;5;4;6;6;6;3;5;7;6;5;3;4;3;5;6;6;5;Hilfreich;Keine negativen Punkte;Nein;;SYS-005420;;Ja;1110;;;;;;;;;;;;;;;;;;;
AM148P0T;19.03.2026 10:34;15;de;245938;19.03.2026 10:21;19.03.2026 10:34;;T1;Ja;24;;0 Tage;;0 Tage;;2 Tage;35;Nein, und ich plane auch nicht, in den nächsten 6 Monaten regelmässig körperlich aktiv zu werden.;;2;1;2;3;4;;7;7;7;7;7;4;3;4;;2;3;3;4;4;4;;4 - stimmt völlig;4 - stimmt völlig;2 - stimmt teils-teils;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;4 - stimmt völlig;1 - stimmt wenig;2 - stimmt teils-teils;2 - stimmt teils-teils;;5;5;5;5;4;4;4;3;4;4;5;4;4;5;4;4;4;5;5;5;4;5;5;5;5;5;5;3;3;2;;4;4;4;4;5;4;4;3;3;2;3;1983;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Berufsausbildung;Angestellt;;4000-4500 CHF;;Detailhandel;08:15:00;08:45:00;20:30:00;21:45;32;143;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;SYS-005021;;Ja;791;;;;;;;;;;;;;;;;;;;
VHHPBMYO;19.03.2026 10:34;15;de;245938;19.03.2026 10:21;19.03.2026 10:34;;T1;Ja;24;;0 Tage;;0 Tage;;2 Tage;35;Nein, und ich plane auch nicht, in den nächsten 6 Monaten regelmässig körperlich aktiv zu werden.;;2;1;2;3;4;;7;7;7;7;7;4;3;4;;2;3;3;4;4;4;;4 - stimmt völlig;4 - stimmt völlig;2 - stimmt teils-teils;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;4 - stimmt völlig;1 - stimmt wenig;2 - stimmt teils-teils;2 - stimmt teils-teils;;5;5;5;5;4;4;4;3;4;4;5;4;4;5;4;4;4;5;5;5;4;5;5;5;5;5;5;3;3;2;;4;4;4;4;5;4;4;3;3;2;3;1983;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Berufsausbildung;Angestellt;;4000-4500 CHF;;Detailhandel;08:15:00;08:45:00;20:30:00;21:45;32;143;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;SYS-005021;;Ja;791;;;;;;;;;;;;;;;;;;;
FQEWAOUA;19.03.2026 10:34;15;de;245938;19.03.2026 10:21;19.03.2026 10:34;;T1;Ja;24;;0 Tage;;0 Tage;;2 Tage;35;Nein, und ich plane auch nicht, in den nächsten 6 Monaten regelmässig körperlich aktiv zu werden.;;2;1;2;3;4;;7;7;7;7;7;4;3;4;;2;3;3;4;4;4;;4 - stimmt völlig;4 - stimmt völlig;2 - stimmt teils-teils;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;4 - stimmt völlig;1 - stimmt wenig;2 - stimmt teils-teils;2 - stimmt teils-teils;;5;5;5;5;4;4;4;3;4;4;5;4;4;5;4;4;4;5;5;5;4;5;5;5;5;5;5;3;3;2;;4;4;4;4;5;4;4;3;3;2;3;1983;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Berufsausbildung;Angestellt;;4000-4500 CHF;;Detailhandel;08:15:00;08:45:00;20:30:00;21:45;32;143;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;SYS-005021;;Ja;791;;;;;;;;;;;;;;;;;;;
AM148P0T;19.03.2026 14:05;11;de;669076;19.03.2026 13:41;19.03.2026 14:05;;T2;Ja;24;;0 Tage;;1 Tag;15;3 Tage;38;Nein, aber ich plane in den nächsten 6 Monaten regelmässig körperlich aktiv zu werden.;3;4;2;2;6;6;6;7;7;7;7;7;3;5;4;;1;1;2;4;6;5;4;4 - stimmt völlig;3 - stimmt ziemlich;;3 - stimmt ziemlich;2 - stimmt teils-teils;3 - stimmt ziemlich;4 - stimmt völlig;2 - stimmt teils-teils;4 - stimmt völlig;1 - stimmt wenig;1 - stimmt wenig;0 - stimmt gar nicht;;4;5;4;4;5;3;3;3;5;5;4;5;4;4;;;;4;5;5;5;5;5;5;5;5;5;2;2;3;;4;3;4;4;;4;5;3;2;2;3;1983;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Berufsausbildung;Arbeitslos;;3000-4000 CHF;;Gesundheit;06:15:00;08:00:00;18:00:00;23:30;65;146;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;SYS-005221;;Ja;1440;;;;;;;;;;;;;;;;;;;
VHHPBMYO;19.03.2026 14:05;11;de;669076;19.03.2026 13:41;19.03.2026 14:05;;T2;Ja;24;;0 Tage;;1 Tag;15;3 Tage;38;Nein, aber ich plane in den nächsten 6 Monaten regelmässig körperlich aktiv zu werden.;3;4;2;2;6;6;6;7;7;7;7;7;3;5;4;;1;1;2;4;6;5;4;4 - stimmt völlig;3 - stimmt ziemlich;;3 - stimmt ziemlich;2 - stimmt teils-teils;3 - stimmt ziemlich;4 - stimmt völlig;2 - stimmt teils-teils;4 - stimmt völlig;1 - stimmt wenig;1 - stimmt wenig;0 - stimmt gar nicht;;4;5;4;4;5;3;3;3;5;5;4;5;4;4;;;;4;5;5;5;5;5;5;5;5;5;2;2;3;;4;3;4;4;;4;5;3;2;2;3;1983;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Berufsausbildung;Arbeitslos;;3000-4000 CHF;;Gesundheit;06:15:00;08:00:00;18:00:00;23:30;65;146;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;SYS-005221;;Ja;1440;;;;;;;;;;;;;;;;;;;
FQEWAOUA;19.03.2026 14:05;11;de;669076;19.03.2026 13:41;19.03.2026 14:05;;T2;Ja;24;;0 Tage;;1 Tag;15;3 Tage;38;Nein, aber ich plane in den nächsten 6 Monaten regelmässig körperlich aktiv zu werden.;3;4;2;2;6;6;6;7;7;7;7;7;3;5;4;;1;1;2;4;6;5;4;4 - stimmt völlig;3 - stimmt ziemlich;;3 - stimmt ziemlich;2 - stimmt teils-teils;3 - stimmt ziemlich;4 - stimmt völlig;2 - stimmt teils-teils;4 - stimmt völlig;1 - stimmt wenig;1 - stimmt wenig;0 - stimmt gar nicht;;4;5;4;4;5;3;3;3;5;5;4;5;4;4;;;;4;5;5;5;5;5;5;5;5;5;2;2;3;;4;3;4;4;;4;5;3;2;2;3;1983;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Berufsausbildung;Arbeitslos;;3000-4000 CHF;;Gesundheit;06:15:00;08:00:00;18:00:00;23:30;65;146;;Nein;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;SYS-005221;;Ja;1440;;;;;;;;;;;;;;;;;;;
AM148P0T;19.03.2026 17:19;14;de;318091;19.03.2026 17:01;19.03.2026 17:19;;T3;Ja;24;;0 Tage;;1 Tag;37;4 Tage;36;Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.;2;2;3;1;5;5;4;7;7;7;7;7;5;6;4;;1;1;2;5;5;4;5;4 - stimmt völlig;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;4 - stimmt völlig;;;3 - stimmt ziemlich;3 - stimmt ziemlich;;1 - stimmt wenig;;5;4;5;5;4;4;5;5;5;4;4;;;;5;4;5;4;5;4;5;5;4;5;5;5;5;2;2;2;;4;4;5;;5;3;5;3;2;3;3;1983;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Obligatorische Schule;Studierend;;4000-4500 CHF;;Detailhandel;05:45:00;07:00:00;16:30:00;24:15;74;56;;Nein;;Nein;;;5;6;5;4;5;3;3;4;4;5;5;5;4;5;5;5;7;6;6;4;6;4;4;;;Nein;;SYS-005421;;Ja;1128;;;;;;;;;;;;;;;;;;;
VHHPBMYO;19.03.2026 17:19;14;de;318091;19.03.2026 17:01;19.03.2026 17:19;;T3;Ja;24;;0 Tage;;1 Tag;37;4 Tage;36;Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.;2;2;3;1;5;5;4;7;7;7;7;7;5;6;4;;1;1;2;5;5;4;5;4 - stimmt völlig;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;4 - stimmt völlig;;;3 - stimmt ziemlich;3 - stimmt ziemlich;;1 - stimmt wenig;;5;4;5;5;4;4;5;5;5;4;4;;;;5;4;5;4;5;4;5;5;4;5;5;5;5;2;2;2;;4;4;5;;5;3;5;3;2;3;3;1983;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Obligatorische Schule;Studierend;;4000-4500 CHF;;Detailhandel;05:45:00;07:00:00;16:30:00;24:15;74;56;;Nein;;Nein;;;5;6;5;4;5;3;3;4;4;5;5;5;4;5;5;5;7;6;6;4;6;4;4;;;Nein;;SYS-005421;;Ja;1128;;;;;;;;;;;;;;;;;;;
FQEWAOUA;19.03.2026 17:19;14;de;318091;19.03.2026 17:01;19.03.2026 17:19;;T3;Ja;24;;0 Tage;;1 Tag;37;4 Tage;36;Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.;2;2;3;1;5;5;4;7;7;7;7;7;5;6;4;;1;1;2;5;5;4;5;4 - stimmt völlig;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;4 - stimmt völlig;;;3 - stimmt ziemlich;3 - stimmt ziemlich;;1 - stimmt wenig;;5;4;5;5;4;4;5;5;5;4;4;;;;5;4;5;4;5;4;5;5;4;5;5;5;5;2;2;2;;4;4;5;;5;3;5;3;2;3;3;1983;Weiblich;;Ja;;;;;;;;;;;;;;;;;;Schweiz;;Obligatorische Schule;Studierend;;4000-4500 CHF;;Detailhandel;05:45:00;07:00:00;16:30:00;24:15;74;56;;Nein;;Nein;;;5;6;5;4;5;3;3;4;4;5;5;5;4;5;5;5;7;6;6;4;6;4;4;;;Nein;;SYS-005421;;Ja;1128;;;;;;;;;;;;;;;;;;;
XEQBNHL1;19.03.2026 10:45;13;de;749404;19.03.2026 10:22;19.03.2026 10:45;;T1;Ja;24;;0 Tage;;3 Tage;22;7 Tage;61;Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.;3;3;4;;7;6;5;4;6;5;5;;5;4;3;;4;5;4;7;7;7;7;4 - stimmt völlig;2 - stimmt teils-teils;3 - stimmt ziemlich;4 - stimmt völlig;4 - stimmt völlig;3 - stimmt ziemlich;3 - stimmt ziemlich;4 - stimmt völlig;4 - stimmt völlig;3 - stimmt ziemlich;2 - stimmt teils-teils;1 - stimmt wenig;;;;;;1;4;3;5;5;5;5;4;5;4;3;4;5;4;4;5;5;5;5;4;5;5;5;2;3;2;;5;5;5;5;4;3;3;2;1;;1;2008;Männlich;;;;Ja;;;;;;;;;;;;;;;;Schweiz;;Master;Angestellt;;4000-4500 CHF;;Bergbau in der Mine;07:00:00;09:00:00;19:30:00;24:15;22;184;;Ja;Samsung Watch;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;Apple Health;SYS-005022;;Ja;1414;;;;;;;;;;;;;;;;;;;
N13JCAT9;19.03.2026 10:45;13;de;749404;19.03.2026 10:22;19.03.2026 10:45;;T1;Ja;24;;0 Tage;;3 Tage;22;7 Tage;61;Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.;3;3;4;;7;6;5;4;6;5;5;;5;4;3;;4;5;4;7;7;7;7;4 - stimmt völlig;2 - stimmt teils-teils;3 - stimmt ziemlich;4 - stimmt völlig;4 - stimmt völlig;3 - stimmt ziemlich;3 - stimmt ziemlich;4 - stimmt völlig;4 - stimmt völlig;3 - stimmt ziemlich;2 - stimmt teils-teils;1 - stimmt wenig;;;;;;1;4;3;5;5;5;5;4;5;4;3;4;5;4;4;5;5;5;5;4;5;5;5;2;3;2;;5;5;5;5;4;3;3;2;1;;1;2008;Männlich;;;;Ja;;;;;;;;;;;;;;;;Schweiz;;Master;Angestellt;;4000-4500 CHF;;Bergbau in der Mine;07:00:00;09:00:00;19:30:00;24:15;22;184;;Ja;Samsung Watch;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;Apple Health;SYS-005022;;Ja;1414;;;;;;;;;;;;;;;;;;;
MX2X18HA;19.03.2026 10:45;13;de;749404;19.03.2026 10:22;19.03.2026 10:45;;T1;Ja;24;;0 Tage;;3 Tage;22;7 Tage;61;Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.;3;3;4;;7;6;5;4;6;5;5;;5;4;3;;4;5;4;7;7;7;7;4 - stimmt völlig;2 - stimmt teils-teils;3 - stimmt ziemlich;4 - stimmt völlig;4 - stimmt völlig;3 - stimmt ziemlich;3 - stimmt ziemlich;4 - stimmt völlig;4 - stimmt völlig;3 - stimmt ziemlich;2 - stimmt teils-teils;1 - stimmt wenig;;;;;;1;4;3;5;5;5;5;4;5;4;3;4;5;4;4;5;5;5;5;4;5;5;5;2;3;2;;5;5;5;5;4;3;3;2;1;;1;2008;Männlich;;;;Ja;;;;;;;;;;;;;;;;Schweiz;;Master;Angestellt;;4000-4500 CHF;;Bergbau in der Mine;07:00:00;09:00:00;19:30:00;24:15;22;184;;Ja;Samsung Watch;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;Apple Health;SYS-005022;;Ja;1414;;;;;;;;;;;;;;;;;;;
XEQBNHL1;19.03.2026 14:06;16;de;129058;19.03.2026 13:42;19.03.2026 14:06;;T2;Ja;24;;0 Tage;;2 Tage;28;7 Tage;62;Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.;3;3;3;4;6;7;7;5;6;6;5;6;4;6;4;;5;3;5;6;5;6;6;3 - stimmt ziemlich;4 - stimmt völlig;4 - stimmt völlig;4 - stimmt völlig;3 - stimmt ziemlich;2 - stimmt teils-teils;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;1 - stimmt wenig;1 - stimmt wenig;1 - stimmt wenig;;4;4;5;4;4;2;3;4;5;5;5;5;4;4;;;;5;4;4;5;4;5;5;5;4;4;2;2;2;;5;5;5;4;;4;3;3;2;2;2;2008;Männlich;;;;;;;;Ja;;;;;;;;;;;;Schweiz;;Bachelor;Angestellt;;4000-4500 CHF;;Detailhandel;08:30:00;08:45:00;17:45:00;22:30;81;175;;Ja;Apple Health;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;Fitbit;SYS-005222;;Ja;1487;;;;;;;;;;;;;;;;;;;
N13JCAT9;19.03.2026 14:06;16;de;129058;19.03.2026 13:42;19.03.2026 14:06;;T2;Ja;24;;0 Tage;;2 Tage;28;7 Tage;62;Ja, und ich bin seit mehr als 6 Monaten regelmässig körperlich aktiv.;3;3;3;4;6;7;7;5;6;6;5;6;4;6;4;;5;3;5;6;5;6;6;3 - stimmt ziemlich;4 - stimmt völlig;4 - stimmt völlig;4 - stimmt völlig;3 - stimmt ziemlich;2 - stimmt teils-teils;3 - stimmt ziemlich;3 - stimmt ziemlich;3 - stimmt ziemlich;1 - stimmt wenig;1 - stimmt wenig;1 - stimmt wenig;;4;4;5;4;4;2;3;4;5;5;5;5;4;4;;;;5;4;4;5;4;5;5;5;4;4;2;2;2;;5;5;5;4;;4;3;3;2;2;2;2008;Männlich;;;;;;;;Ja;;;;;;;;;;;;Schweiz;;Bachelor;Angestellt;;4000-4500 CHF;;Detailhandel;08:30:00;08:45:00;17:45:00;22:30;81;175;;Ja;Apple Health;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;Fitbit;SYS-005222;;Ja;1487;;;;;;;;;;;;;;;;;;;
